Company,Ticker,Ex-Date,Event Type,Value/Ratio
Enagás,ENG.MC,2014-12-19,Dividend/Bonus Issue,0.52
Enagás,ENG.MC,2015-07-02,Dividend/Bonus Issue,0.78
Enagás,ENG.MC,2015-12-17,Dividend/Bonus Issue,0.528
Enagás,ENG.MC,2016-06-30,Dividend/Bonus Issue,0.792
Enagás,ENG.MC,2016-12-20,Dividend/Bonus Issue,0.556
Enagás,ENG.MC,2017-07-03,Dividend/Bonus Issue,0.834
Enagás,ENG.MC,2017-12-19,Dividend/Bonus Issue,0.584
Enagás,ENG.MC,2018-07-03,Dividend/Bonus Issue,0.876
Enagás,ENG.MC,2018-12-17,Dividend/Bonus Issue,0.612
Enagás,ENG.MC,2019-07-01,Dividend/Bonus Issue,0.918
Enagás,ENG.MC,2019-12-19,Dividend/Bonus Issue,0.64
Enagás,ENG.MC,2020-07-07,Dividend/Bonus Issue,0.96
Enagás,ENG.MC,2020-12-21,Dividend/Bonus Issue,0.672
Enagás,ENG.MC,2021-07-06,Dividend/Bonus Issue,1.008
Enagás,ENG.MC,2021-12-17,Dividend/Bonus Issue,0.68
Enagás,ENG.MC,2022-07-05,Dividend/Bonus Issue,1.02
Enagás,ENG.MC,2022-12-19,Dividend/Bonus Issue,0.688
Enagás,ENG.MC,2023-07-04,Dividend/Bonus Issue,1.032
Enagás,ENG.MC,2023-12-20,Dividend/Bonus Issue,0.696
Enagás,ENG.MC,2024-07-02,Dividend/Bonus Issue,1.044
Enagás,ENG.MC,2024-12-10,Dividend/Bonus Issue,0.4
Enagás,ENG.MC,2025-12-19,Dividend/Bonus Issue,0.4
Ferrovial,FER.MC,2010-07-01,Dividend/Bonus Issue,0.3
Ferrovial,FER.MC,2010-11-18,Dividend/Bonus Issue,0.12
Ferrovial,FER.MC,2011-05-19,Dividend/Bonus Issue,0.3
Ferrovial,FER.MC,2011-11-17,Dividend/Bonus Issue,0.2
Ferrovial,FER.MC,2012-05-24,Dividend/Bonus Issue,0.25
Ferrovial,FER.MC,2012-12-13,Dividend/Bonus Issue,1.0
Ferrovial,FER.MC,2013-05-23,Dividend/Bonus Issue,0.25
Ferrovial,FER.MC,2013-12-10,Dividend/Bonus Issue,0.4
Ferrovial,FER.MC,2014-07-02,Dividend/Bonus Issue,0.291
Ferrovial,FER.MC,2014-11-04,Dividend/Bonus Issue,0.381
Ferrovial,FER.MC,2015-05-06,Dividend/Bonus Issue,0.304
Ferrovial,FER.MC,2015-11-03,Dividend/Bonus Issue,0.398
Ferrovial,FER.MC,2016-05-27,Dividend/Bonus Issue,0.311
Ferrovial,FER.MC,2016-10-31,Dividend/Bonus Issue,0.408
Ferrovial,FER.MC,2017-05-09,Dividend/Bonus Issue,0.315
Ferrovial,FER.MC,2017-10-30,Dividend/Bonus Issue,0.404
Ferrovial,FER.MC,2018-05-17,Dividend/Bonus Issue,0.314
Ferrovial,FER.MC,2018-11-06,Dividend/Bonus Issue,0.407
Ferrovial,FER.MC,2019-05-14,Dividend/Bonus Issue,0.311
Ferrovial,FER.MC,2019-11-06,Dividend/Bonus Issue,0.408
Ferrovial,FER.MC,2020-05-14,Dividend/Bonus Issue,0.312
Ferrovial,FER.MC,2020-11-04,Dividend/Bonus Issue,0.2
Ferrovial,FER.MC,2021-05-13,Dividend/Bonus Issue,0.197
Ferrovial,FER.MC,2021-11-03,Dividend/Bonus Issue,0.305
Ferrovial,FER.MC,2022-05-11,Dividend/Bonus Issue,0.278
Ferrovial,FER.MC,2022-11-03,Dividend/Bonus Issue,0.414
Ferrovial,FER.MC,2023-07-05,Dividend/Bonus Issue,0.244
Ferrovial,FER.MC,2023-10-25,Dividend/Bonus Issue,0.4276
Ferrovial,FER.MC,2024-05-20,Dividend/Bonus Issue,0.3033
Ferrovial,FER.MC,2024-11-06,Dividend/Bonus Issue,0.4597
Ferrovial,FER.MC,2024-12-13,Dividend/Bonus Issue,0.0346
Ferrovial,FER.MC,2025-05-22,Dividend/Bonus Issue,0.3182
Ferrovial,FER.MC,2025-10-24,Dividend/Bonus Issue,0.4769
Ferrovial,FER.MC,2025-12-04,Dividend/Bonus Issue,0.077
Grifols,GRF.MC,2010-07-01,Dividend/Bonus Issue,0.063946
Grifols,GRF.MC,2013-06-05,Dividend/Bonus Issue,0.1
Grifols,GRF.MC,2014-06-05,Dividend/Bonus Issue,0.100342
Grifols,GRF.MC,2014-12-04,Dividend/Bonus Issue,0.125722
Grifols,GRF.MC,2015-06-08,Dividend/Bonus Issue,0.147545
Grifols,GRF.MC,2015-12-10,Dividend/Bonus Issue,0.175
Grifols,GRF.MC,2016-01-04,Stock Split,2.0
Grifols,GRF.MC,2016-06-02,Dividend/Bonus Issue,0.132572
Grifols,GRF.MC,2016-12-05,Dividend/Bonus Issue,0.18
Grifols,GRF.MC,2017-05-30,Dividend/Bonus Issue,0.135615
Grifols,GRF.MC,2017-12-01,Dividend/Bonus Issue,0.18
Grifols,GRF.MC,2018-06-01,Dividend/Bonus Issue,0.203996
Grifols,GRF.MC,2018-11-30,Dividend/Bonus Issue,0.2
Grifols,GRF.MC,2019-06-07,Dividend/Bonus Issue,0.145143
Grifols,GRF.MC,2019-12-02,Dividend/Bonus Issue,0.2
Grifols,GRF.MC,2020-10-26,Dividend/Bonus Issue,0.1616
Grifols,GRF.MC,2021-06-03,Dividend/Bonus Issue,0.364348
Grifols,GRF.MC,2025-08-11,Dividend/Bonus Issue,0.15
Iberdrola,IBE.MC,2010-06-14,Dividend/Bonus Issue,0.191
Iberdrola,IBE.MC,2010-12-03,Dividend/Bonus Issue,0.146
Iberdrola,IBE.MC,2011-07-13,Dividend/Bonus Issue,0.03
Iberdrola,IBE.MC,2012-01-03,Dividend/Bonus Issue,0.146
Iberdrola,IBE.MC,2012-07-04,Dividend/Bonus Issue,0.19
Iberdrola,IBE.MC,2013-01-03,Dividend/Bonus Issue,0.143
Iberdrola,IBE.MC,2013-07-03,Dividend/Bonus Issue,0.16
Iberdrola,IBE.MC,2014-01-13,Dividend/Bonus Issue,0.126
Iberdrola,IBE.MC,2014-07-03,Dividend/Bonus Issue,0.144
Iberdrola,IBE.MC,2014-12-02,Dividend/Bonus Issue,0.127
Iberdrola,IBE.MC,2015-07-03,Dividend/Bonus Issue,0.144
Iberdrola,IBE.MC,2016-01-12,Dividend/Bonus Issue,0.127
